file, line, token_snippet
src/components/ProductCard.tsx,760,"liked ? \"fill-red-500 text-red-500\" : \"text-gray-700 hover:text-red-500\""
src/components/ProductCard.tsx,767,"<div class=\"absolute top-3 left-3 bg-[#D9C6A4] text-[#0F0F0F] text-xs ... px-2 py-1 ...\">"
src/components/ProductCard.tsx,787,"<div class=\"text-lg font-bold ml-4\">₹{product.price}</div>"
src/components/ProductCard.tsx,883,"<p class=\"text-sm text-muted-foreground uppercase tracking-wider\">"
src/components/ProductCard.tsx,886,"<h3 class=\"text-lg font-bold mt-1\">{product.code}</h3>"
src/components/ShippingAddressModule.tsx,257,"<svg width=\"22\" height=\"22\" ...><path stroke=\"#0F0F0F\" strokeWidth=\"2\" .../></svg>"
src/components/ShippingAddressModule.tsx,355,"svg class=\"animate-spin h-4 w-4 text-black\" ... strokeWidth=\"4\""
src/components/ShippingAddressModule.tsx,370,"svg class=\"animate-spin h-5 w-5 text-black\" ..."
src/components/LightRays.css,4,"text-shadow: 0 0 20px rgba(255,255,255,0.1);"
src/components/LightRays.css,9,"text-shadow: 0 0 30px rgba(255,255,255,0.2), 0 0 50px rgba(147,112,219,0.15);"
src/components/MagnetLines.css,9,"width: 100vmin;"
src/components/MagnetLines.jsx,9,"lineWidth = '1vmin'"
src/components/BrushCalligraphy.tsx,32,"<g filter=\"url(#dryBrush)\" fill=\"none\" stroke=\"#1a1a1a\" ...>"
src/components/BrushCalligraphy.tsx,33,"<path ... strokeWidth=\"18\" opacity=\"0.95\"/>"
src/components/VariableProximity.tsx,125,"const charCenterX = rect.left + rect.width / 2;"
src/components/VariableProximity.tsx,126,"const charCenterY = rect.top + rect.height / 2;"
src/components/ui/sidebar.tsx,17,"const SIDEBAR_WIDTH = \"16rem\";"
src/components/ui/sidebar.tsx,18,"const SIDEBAR_WIDTH_MOBILE = \"18rem\";"
src/components/ui/sidebar.tsx,19,"const SIDEBAR_WIDTH_ICON = \"3rem\";"
src/components/ui/sidebar.tsx,114,"--sidebar-width: SIDEBAR_WIDTH" 
src/components/ui/sidebar.tsx,144,"className=\"flex h-full w-[--sidebar-width] flex-col ...\""
src/components/ui/card.tsx,19,"<h3 ... className=\"text-2xl font-semibold leading-none tracking-tight\">"
src/components/ui/badge.tsx,7,"... text-xs font-semibold ..."
src/components/ui/calendar.tsx,29,"head_cell: \"... text-[0.8rem]\""
